Description_ID,Unstructured_Description,color_extracted,brand_extracted,size_extracted,top1_sku,top1_conf,top2_sku,top2_conf,top3_sku,top3_conf,match_reason
DESC0001,Do you carry Style Pants for Fall 2025?,,style,,SKU1000425,0.7945468231225079,SKU1000445,0.7539754334098148,SKU1000325,0.7478330360565719,brand match: style; text similarity: 0.795
DESC0002,"Looking for Green Boots, size L.",green,,l,SKU1000660,0.6786660748920842,SKU1000491,0.20202222355040667,SKU1000367,0.18800368641080117,color match: green; size match: l; text similarity: 0.679
DESC0003,"Searching for the Modern blazer finished in dark grey, XXL size.",gray,modern,xxl,SKU1000255,0.35873935602425544,,,,,color match: gray; brand match: modern; size match: xxl; text similarity: 0.359
DESC0004,"Need blue sundress that is breathable and flexible for Fall 2024, size M.",blue,,m,SKU1000563,0.6995661778865463,SKU1000504,0.2873275944554933,SKU1000323,0.27184608129889376,color match: blue; size match: m; text similarity: 0.700
DESC0005,"Looking for Beige Gown, size L.",beige,,l,SKU1000559,0.6415805441089777,SKU1000094,0.2004759271671208,SKU1000794,0.1863495360904241,color match: beige; size match: l; text similarity: 0.642
DESC0006,Do you have any footwear options suitable for Fall 2025?,,,,SKU1000738,0.31600524067425073,SKU1000702,0.31600524067425073,SKU1000668,0.3159103326460858,text similarity: 0.316
DESC0007,"Looking for naavy Santals by lite, size L please.",navy,elite,l,SKU1000697,0.0,,,,,color match: navy; brand match: elite; size match: l; text similarity: 0.000
DESC0008,Need Essetnial's burundy Boluse sz XS asap.,burgundy,essential,xs,SKU1000595,0.21491387691034555,SKU1000395,0.21197729969573323,SKU1000610,0.20792197764679807,color match: burgundy; brand match: essential; size match: xs; text similarity: 0.215
DESC0009,"White Polo from Alpine, size M",white,alpine,m,SKU1000182,0.8275183752052243,,,,,color match: white; brand match: alpine; size match: m; text similarity: 0.828
DESC0010,"After Black option in XS, preferably Coat.",black,,xs,SKU1000091,0.6685824360615662,SKU1000540,0.27351759668870035,SKU1000612,0.2734306529035592,color match: black; size match: xs; text similarity: 0.669
